TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Annual Average 2022,CD,101,6,Financial District (CD1),12.6,14.9,13.8
Annual Average 2022,CD,102,6,Greenwich Village and Soho (CD2),13.3,16.5,14.9
Annual Average 2022,CD,103,6,Lower East Side and Chinatown (CD3),10.7,12.7,11.7
Annual Average 2022,CD,104,6,Clinton and Chelsea (CD4),13.8,17.7,15.8
Annual Average 2022,CD,105,6,Midtown (CD5),14.3,17.6,16.0
Annual Average 2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),10.3,16.1,14.0
Annual Average 2022,CD,107,6,Upper West Side (CD7),11.3,14.9,13.2
Annual Average 2022,CD,108,6,Upper East Side (CD8),11.4,15.3,13.3
Annual Average 2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),11.0,15.1,12.7
Annual Average 2022,CD,110,6,Central Harlem (CD10),10.5,12.2,11.2
Annual Average 2022,CD,111,6,East Harlem (CD11),10.9,12.8,12.0
Annual Average 2022,CD,112,6,Washington Heights and Inwood (CD12),8.7,20.2,12.6
Annual Average 2022,CD,201,6,Mott Haven and Melrose (CD1),10.7,21.2,14.6
Annual Average 2022,CD,202,6,Hunts Point and Longwood (CD2),11.9,19.8,15.5
Annual Average 2022,CD,203,6,Morrisania and Crotona (CD3),10.9,13.7,12.1
Annual Average 2022,CD,204,6,Highbridge and Concourse (CD4),10.2,14.1,11.8
Annual Average 2022,CD,205,6,Fordham and University Heights (CD5),9.9,14.3,11.7
Annual Average 2022,CD,206,6,Belmont and East Tremont (CD6),9.3,14.0,11.3
Annual Average 2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),9.8,11.3,10.6
Annual Average 2022,CD,208,6,Riverdale and Fieldston (CD8),7.9,11.0,9.1
Annual Average 2022,CD,209,6,Parkchester and Soundview (CD9),8.9,14.5,11.3
Annual Average 2022,CD,210,6,Throgs Neck and Co-op City (CD10),7.8,12.3,10.1
Annual Average 2022,CD,211,6,Morris Park and Bronxdale (CD11),8.3,12.5,10.0
Annual Average 2022,CD,212,6,Williamsbridge and Baychester (CD12),8.2,10.4,9.2
Annual Average 2022,CD,301,6,Greenpoint and Williamsburg (CD1),13.7,20.8,16.4
Annual Average 2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),11.6,17.2,14.1
Annual Average 2022,CD,303,6,Bedford Stuyvesant (CD3),10.3,16.9,12.7
Annual Average 2022,CD,304,6,Bushwick (CD4),10.4,18.1,13.2
Annual Average 2022,CD,305,6,East New York and Starrett City (CD5),8.8,14.6,11.4
Annual Average 2022,CD,306,6,Park Slope and Carroll Gardens (CD6),10.4,17.6,13.8
Annual Average 2022,CD,307,6,Sunset Park (CD7),8.7,23.8,14.9
Annual Average 2022,CD,308,6,Crown Heights and Prospect Heights (CD8),11.2,14.2,12.6
Annual Average 2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),9.9,11.4,10.6
Annual Average 2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),8.3,12.9,10.1
Annual Average 2022,CD,311,6,Bensonhurst (CD11),8.4,9.8,9.1
Annual Average 2022,CD,312,6,Borough Park (CD12),9.5,11.2,10.3
Annual Average 2022,CD,313,6,Coney Island (CD13),7.9,9.9,9.0
Annual Average 2022,CD,314,6,Flatbush and Midwood (CD14),9.2,11.1,10.0
Annual Average 2022,CD,315,6,Sheepshead Bay (CD15),7.9,9.6,8.8
Annual Average 2022,CD,316,6,Brownsville (CD16),10.2,13.4,11.7
Annual Average 2022,CD,317,6,East Flatbush (CD17),9.0,11.9,10.6
Annual Average 2022,CD,318,6,Flatlands and Canarsie (CD18),7.6,11.1,9.1
Annual Average 2022,CD,401,6,Long Island City and Astoria (CD1),7.9,14.4,11.4
Annual Average 2022,CD,402,6,Woodside and Sunnyside (CD2),12.3,24.0,17.1
Annual Average 2022,CD,403,6,Jackson Heights (CD3),9.0,11.0,9.8
Annual Average 2022,CD,404,6,Elmhurst and Corona (CD4),9.8,12.6,11.2
Annual Average 2022,CD,405,6,Ridgewood and Maspeth (CD5),8.3,19.1,12.9
Annual Average 2022,CD,406,6,Rego Park and Forest Hills (CD6),8.5,12.0,10.0
Annual Average 2022,CD,407,6,Flushing and Whitestone (CD7),8.0,12.0,9.6
Annual Average 2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),8.3,10.7,9.2
Annual Average 2022,CD,409,6,Kew Gardens and Woodhaven (CD9),8.9,12.3,10.4
Annual Average 2022,CD,410,6,South Ozone Park and Howard Beach (CD10),7.9,10.0,8.8
Annual Average 2022,CD,411,6,Bayside and Little Neck (CD11),7.9,10.7,9.0
Annual Average 2022,CD,412,6,Jamaica and Hollis (CD12),8.3,13.6,10.1
Annual Average 2022,CD,413,6,Queens Village (CD13),8.1,12.5,9.7
Annual Average 2022,CD,414,6,Rockaway and Broad Channel (CD14),7.0,9.1,8.0
Annual Average 2022,CD,501,6,St. George and Stapleton (CD1),7.6,9.8,8.6
Annual Average 2022,CD,502,6,South Beach and Willowbrook (CD2),6.7,9.0,7.7
Annual Average 2022,CD,503,6,Tottenville and Great Kills (CD3),6.5,7.4,7.0
Annual Average 2022,UHF42,101,4,Kingsbridge - Riverdale,7.9,11.1,9.2
Annual Average 2022,UHF42,102,4,Northeast Bronx,8.3,11.0,9.4
Annual Average 2022,UHF42,103,4,Fordham - Bronx Pk,8.2,11.2,9.8
Annual Average 2022,UHF42,104,4,Pelham - Throgs Neck,8.1,14.0,10.6
Annual Average 2022,UHF42,105,4,Crotona -Tremont,9.9,14.5,12.0
Annual Average 2022,UHF42,106,4,High Bridge - Morrisania,10.2,14.5,12.0
Annual Average 2022,UHF42,107,4,Hunts Point - Mott Haven,8.3,20.2,14.2
Annual Average 2022,UHF42,201,4,Greenpoint,13.5,19.5,15.9
Annual Average 2022,UHF42,202,4,Downtown - Heights - Slope,10.9,18.0,14.2
Annual Average 2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,10.3,13.7,11.8
Annual Average 2022,UHF42,204,4,East New York,9.1,14.7,11.7
Annual Average 2022,UHF42,205,4,Sunset Park,8.5,23.7,14.8
Annual Average 2022,UHF42,206,4,Borough Park,9.3,11.1,10.1
Annual Average 2022,UHF42,207,4,East Flatbush - Flatbush,9.1,11.4,10.2
Annual Average 2022,UHF42,208,4,Canarsie - Flatlands,7.6,11.7,9.3
Annual Average 2022,UHF42,209,4,Bensonhurst - Bay Ridge,8.3,11.5,9.4
Annual Average 2022,UHF42,210,4,Coney Island - Sheepshead Bay,8.0,9.7,8.9
Annual Average 2022,UHF42,211,4,Williamsburg - Bushwick,10.6,20.7,14.8
Annual Average 2022,UHF42,301,4,Washington Heights,9.0,18.7,12.4
Annual Average 2022,UHF42,302,4,Central Harlem - Morningside Heights,10.6,13.6,11.9
Annual Average 2022,UHF42,303,4,East Harlem,11.0,12.8,11.9
Annual Average 2022,UHF42,304,4,Upper West Side,11.5,15.0,13.5
Annual Average 2022,UHF42,305,4,Upper East Side,11.4,15.2,13.3
Annual Average 2022,UHF42,306,4,Chelsea - Clinton,14.0,17.7,15.9
Annual Average 2022,UHF42,307,4,Gramercy Park - Murray Hill,13.0,16.6,15.0
Annual Average 2022,UHF42,308,4,Greenwich Village - SoHo,13.0,16.4,14.7
Annual Average 2022,UHF42,309,4,Union Square - Lower East Side,10.4,14.1,11.9
Annual Average 2022,UHF42,310,4,Lower Manhattan,12.3,14.7,13.5
Annual Average 2022,UHF42,401,4,Long Island City - Astoria,10.3,19.2,14.1
Annual Average 2022,UHF42,402,4,West Queens,9.3,22.1,13.6
Annual Average 2022,UHF42,403,4,Flushing - Clearview,8.1,11.7,9.5
Annual Average 2022,UHF42,404,4,Bayside - Little Neck,7.8,10.8,9.1
Annual Average 2022,UHF42,405,4,Ridgewood - Forest Hills,8.3,13.5,10.6
Annual Average 2022,UHF42,406,4,Fresh Meadows,8.1,10.7,9.2
Annual Average 2022,UHF42,407,4,Southwest Queens,8.0,11.2,9.4
Annual Average 2022,UHF42,408,4,Jamaica,8.3,14.0,10.4
Annual Average 2022,UHF42,409,4,Southeast Queens,8.1,10.2,9.2
Annual Average 2022,UHF42,410,4,Rockaways,7.0,9.1,8.0
Annual Average 2022,UHF42,501,4,Port Richmond,7.7,9.8,8.6
Annual Average 2022,UHF42,502,4,Stapleton - St. George,7.2,9.7,8.3
