TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2020,CD,101,6,Financial District (CD1),11.9*,6*
2020,CD,102,6,Greenwich Village and Soho (CD2),8.8*,5*
2020,CD,103,6,Lower East Side and Chinatown (CD3),81.9,136
2020,CD,104,6,Clinton and Chelsea (CD4),42.1,34
2020,CD,105,6,Midtown (CD5),19.4*,5*
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),31.1,23
2020,CD,107,6,Upper West Side (CD7),39.0,85
2020,CD,108,6,Upper East Side (CD8),11.9,27
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),72.3,94
2020,CD,110,6,Central Harlem (CD10),159.3,271
2020,CD,111,6,East Harlem (CD11),143.8,267
2020,CD,112,6,Washington Heights and Inwood (CD12),47.3,117
2020,CD,201,6,Mott Haven and Melrose (CD1),182.4,364
2020,CD,202,6,Hunts Point and Longwood (CD2),116.3,129
2020,CD,203,6,Morrisania and Crotona (CD3),125.2,241
2020,CD,204,6,Highbridge and Concourse (CD4),114.1,337
2020,CD,205,6,Fordham and University Heights (CD5),93.7,250
2020,CD,206,6,Belmont and East Tremont (CD6),131.9,239
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),76.0,202
2020,CD,208,6,Riverdale and Fieldston (CD8),52.1,75
2020,CD,209,6,Parkchester and Soundview (CD9),83.4,274
2020,CD,210,6,Throgs Neck and Co-op City (CD10),48.1,86
2020,CD,211,6,Morris Park and Bronxdale (CD11),60.0,113
2020,CD,212,6,Williamsbridge and Baychester (CD12),95.6,261
2020,CD,301,6,Greenpoint and Williamsburg (CD1),23.4,77
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),65.1,80
2020,CD,303,6,Bedford Stuyvesant (CD3),107.4,264
2020,CD,304,6,Bushwick (CD4),50.1,94
2020,CD,305,6,East New York and Starrett City (CD5),121.9,409
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),38.1,49
2020,CD,307,6,Sunset Park (CD7),18.5,36
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),109.7,139
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),58.6,85
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),15.2,32
2020,CD,311,6,Bensonhurst (CD11),9.7,30
2020,CD,312,6,Borough Park (CD12),9.4,47
2020,CD,313,6,Coney Island (CD13),52.3,77
2020,CD,314,6,Flatbush and Midwood (CD14),27.4,80
2020,CD,315,6,Sheepshead Bay (CD15),13.4,38
2020,CD,316,6,Brownsville (CD16),166.2,266
2020,CD,317,6,East Flatbush (CD17),105.0,224
2020,CD,318,6,Flatlands and Canarsie (CD18),47.0,153
2020,CD,401,6,Long Island City and Astoria (CD1),34.6,78
2020,CD,402,6,Woodside and Sunnyside (CD2),22.3,41
2020,CD,403,6,Jackson Heights (CD3),40.5,109
2020,CD,404,6,Elmhurst and Corona (CD4),30.9,85
2020,CD,405,6,Ridgewood and Maspeth (CD5),22.9,61
2020,CD,406,6,Rego Park and Forest Hills (CD6),20.1,25
2020,CD,407,6,Flushing and Whitestone (CD7),18.1,58
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),27.8,62
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),32.0,81
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),26.3,54
2020,CD,411,6,Bayside and Little Neck (CD11),4.0*,7*
2020,CD,412,6,Jamaica and Hollis (CD12),60.7,222
2020,CD,413,6,Queens Village (CD13),32.1,90
2020,CD,414,6,Rockaway and Broad Channel (CD14),52.2,109
2020,CD,501,6,St. George and Stapleton (CD1),51.1,168
2020,CD,502,6,South Beach and Willowbrook (CD2),17.7,37
2020,CD,503,6,Tottenville and Great Kills (CD3),5.0,13
2020,UHF42,101,4,Kingsbridge - Riverdale,39.2,49
2020,UHF42,102,4,Northeast Bronx,75.0,251
2020,UHF42,103,4,Fordham - Bronx Pk,86.4,430
2020,UHF42,104,4,Pelham - Throgs Neck,68.6,359
2020,UHF42,105,4,Crotona -Tremont,115.1,499
2020,UHF42,106,4,High Bridge - Morrisania,134.3,577
2020,UHF42,107,4,Hunts Point - Mott Haven,142.8,406
2020,UHF42,201,4,Greenpoint,13.1,29
2020,UHF42,202,4,Downtown - Heights - Slope,43.4,135
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,113.1,578
2020,UHF42,204,4,East New York,112.2,423
2020,UHF42,205,4,Sunset Park,21.7,41
2020,UHF42,206,4,Borough Park,11.2,80
2020,UHF42,207,4,East Flatbush - Flatbush,64.8,291
2020,UHF42,208,4,Canarsie - Flatlands,50.6,168
2020,UHF42,209,4,Bensonhurst - Bay Ridge,11.5,36
2020,UHF42,210,4,Coney Island - Sheepshead Bay,25.8,116
2020,UHF42,211,4,Williamsburg - Bushwick,71.9,283
2020,UHF42,301,4,Washington Heights,45.1,154
2020,UHF42,302,4,Central Harlem - Morningside Heights,139.9,355
2020,UHF42,303,4,East Harlem,141.1,238
2020,UHF42,304,4,Upper West Side,38.7,87
2020,UHF42,305,4,Upper East Side,12.3,27
2020,UHF42,306,4,Chelsea - Clinton,44.5,37
2020,UHF42,307,4,Gramercy Park - Murray Hill,31.2,21
