Year,GeoType,GeoID,Number,no2/Mean ppb,Geography,pm/Mean mcg/m3
2020,CD,101,6,21.7,Financial District (CD1),7.5
2020,CD,102,5,21.3,Greenwich Village and Soho (CD2),8.5
2020,CD,103,136,19.4,Lower East Side and Chinatown (CD3),7.5
2020,CD,104,34,22.5,Clinton and Chelsea (CD4),8.0
2020,CD,105,5,26.3,Midtown (CD5),9.2
2020,CD,106,23,22.6,Stuyvesant Town and Turtle Bay (CD6),7.8
2020,CD,107,85,19.6,Upper West Side (CD7),6.3
2020,CD,108,27,20.9,Upper East Side (CD8),6.7
2020,CD,109,94,18.6,Morningside Heights and Hamilton Heights (CD9),6.3
2020,CD,110,271,19.1,Central Harlem (CD10),6.4
2020,CD,111,267,18.8,East Harlem (CD11),6.4
2020,CD,112,117,17.9,Washington Heights and Inwood (CD12),6.3
2020,CD,201,364,19.1,Mott Haven and Melrose (CD1),6.3
2020,CD,202,129,18.8,Hunts Point and Longwood (CD2),6.6
2020,CD,203,241,18.1,Morrisania and Crotona (CD3),6.2
2020,CD,204,337,19.0,Highbridge and Concourse (CD4),6.1
2020,CD,205,250,19.1,Fordham and University Heights (CD5),6.2
2020,CD,206,239,18.2,Belmont and East Tremont (CD6),6.3
2020,CD,207,202,17.9,Kingsbridge Heights and Bedford (CD7),6.0
2020,CD,208,75,15.8,Riverdale and Fieldston (CD8),5.9
2020,CD,209,274,16.9,Parkchester and Soundview (CD9),6.2
2020,CD,210,86,15.5,Throgs Neck and Co-op City (CD10),6.1
2020,CD,211,113,16.8,Morris Park and Bronxdale (CD11),6.0
2020,CD,212,261,16.5,Williamsbridge and Baychester (CD12),5.9
2020,CD,301,77,19.7,Greenpoint and Williamsburg (CD1),7.1
2020,CD,302,80,18.4,Fort Greene and Brooklyn Heights (CD2),6.7
2020,CD,303,264,17.5,Bedford Stuyvesant (CD3),6.3
2020,CD,304,94,17.5,Bushwick (CD4),6.5
2020,CD,305,409,15.5,East New York and Starrett City (CD5),6.0
2020,CD,306,49,18.2,Park Slope and Carroll Gardens (CD6),6.7
2020,CD,307,36,16.9,Sunset Park (CD7),6.5
2020,CD,308,139,17.3,Crown Heights and Prospect Heights (CD8),6.3
2020,CD,309,85,16.9,South Crown Heights and Lefferts Gardens (CD9),6.1
2020,CD,310,32,15.2,Bay Ridge and Dyker Heights (CD10),6.1
2020,CD,311,30,15.4,Bensonhurst (CD11),5.8
2020,CD,312,47,16.2,Borough Park (CD12),6.0
2020,CD,313,77,13.0,Coney Island (CD13),5.7
2020,CD,314,80,15.6,Flatbush and Midwood (CD14),5.9
2020,CD,315,38,14.0,Sheepshead Bay (CD15),5.7
2020,CD,316,266,16.8,Brownsville (CD16),6.1
2020,CD,317,224,16.2,East Flatbush (CD17),6.0
2020,CD,318,153,13.7,Flatlands and Canarsie (CD18),5.7
2020,CD,401,78,17.6,Long Island City and Astoria (CD1),6.5
