Year,GeoType,GeoID,Number,no2/Mean ppb,Geography,pm/Mean mcg/m3
2020,CD,101,80.0,21.7,Financial District (CD1),7.5
2020,CD,102,81.0,21.3,Greenwich Village and Soho (CD2),8.5
2020,CD,103,661.0,19.4,Lower East Side and Chinatown (CD3),7.5
2020,CD,104,364.0,22.5,Clinton and Chelsea (CD4),8.0
2020,CD,105,116.0,26.3,Midtown (CD5),9.2
2020,CD,106,150.0,22.6,Stuyvesant Town and Turtle Bay (CD6),7.8
2020,CD,107,382.0,19.6,Upper West Side (CD7),6.3
2020,CD,108,198.0,20.9,Upper East Side (CD8),6.7
2020,CD,109,480.0,18.6,Morningside Heights and Hamilton Heights (CD9),6.3
2020,CD,110,1504.0,19.1,Central Harlem (CD10),6.4
2020,CD,111,1510.0,18.8,East Harlem (CD11),6.4
2020,CD,112,509.0,17.9,Washington Heights and Inwood (CD12),6.3
2020,CD,201,1457.0,19.1,Mott Haven and Melrose (CD1),6.3
2020,CD,202,460.0,18.8,Hunts Point and Longwood (CD2),6.6
2020,CD,203,1018.0,18.1,Morrisania and Crotona (CD3),6.2
2020,CD,204,1349.0,19.0,Highbridge and Concourse (CD4),6.1
2020,CD,205,1082.0,19.1,Fordham and University Heights (CD5),6.2
2020,CD,206,946.0,18.2,Belmont and East Tremont (CD6),6.3
2020,CD,207,757.0,17.9,Kingsbridge Heights and Bedford (CD7),6.0
2020,CD,208,211.0,15.8,Riverdale and Fieldston (CD8),5.9
2020,CD,209,1113.0,16.9,Parkchester and Soundview (CD9),6.2
2020,CD,210,402.0,15.5,Throgs Neck and Co-op City (CD10),6.1
2020,CD,211,520.0,16.8,Morris Park and Bronxdale (CD11),6.0
2020,CD,212,1069.0,16.5,Williamsbridge and Baychester (CD12),5.9
2020,CD,301,536.0,19.7,Greenpoint and Williamsburg (CD1),7.1
2020,CD,302,394.0,18.4,Fort Greene and Brooklyn Heights (CD2),6.7
2020,CD,303,1270.0,17.5,Bedford Stuyvesant (CD3),6.3
2020,CD,304,668.0,17.5,Bushwick (CD4),6.5
2020,CD,305,1346.0,15.5,East New York and Starrett City (CD5),6.0
2020,CD,306,263.0,18.2,Park Slope and Carroll Gardens (CD6),6.7
2020,CD,307,267.0,16.9,Sunset Park (CD7),6.5
2020,CD,308,607.0,17.3,Crown Heights and Prospect Heights (CD8),6.3
2020,CD,309,442.0,16.9,South Crown Heights and Lefferts Gardens (CD9),6.1
2020,CD,310,103.0,15.2,Bay Ridge and Dyker Heights (CD10),6.1
2020,CD,311,153.0,15.4,Bensonhurst (CD11),5.8
2020,CD,312,102.0,16.2,Borough Park (CD12),6.0
2020,CD,313,349.0,13.0,Coney Island (CD13),5.7
2020,CD,314,468.0,15.6,Flatbush and Midwood (CD14),5.9
2020,CD,315,150.0,14.0,Sheepshead Bay (CD15),5.7
2020,CD,316,1040.0,16.8,Brownsville (CD16),6.1
2020,CD,317,868.0,16.2,East Flatbush (CD17),6.0
2020,CD,318,740.0,13.7,Flatlands and Canarsie (CD18),5.7
2020,CD,401,430.0,17.6,Long Island City and Astoria (CD1),6.5
2020,CD,402,128.0,19.2,Woodside and Sunnyside (CD2),7.0
2020,CD,403,258.0,17.0,Jackson Heights (CD3),6.4
2020,CD,404,283.0,17.5,Elmhurst and Corona (CD4),6.5
2020,CD,405,288.0,16.5,Ridgewood and Maspeth (CD5),6.2
2020,CD,406,126.0,15.7,Rego Park and Forest Hills (CD6),6.1
2020,CD,407,200.0,15.6,Flushing and Whitestone (CD7),6.3
2020,CD,408,248.0,14.1,Hillcrest and Fresh Meadows (CD8),6.0
2020,CD,409,326.0,15.5,Kew Gardens and Woodhaven (CD9),6.1
2020,CD,410,261.0,14.3,South Ozone Park and Howard Beach (CD10),5.8
2020,CD,411,42.0,13.4,Bayside and Little Neck (CD11),6.0
2020,CD,412,1071.0,14.3,Jamaica and Hollis (CD12),5.9
2020,CD,413,447.0,13.1,Queens Village (CD13),5.8
2020,CD,414,625.0,10.5,Rockaway and Broad Channel (CD14),5.3
2020,CD,501,834.0,13.7,St. George and Stapleton (CD1),5.8
2020,CD,502,283.0,11.5,South Beach and Willowbrook (CD2),5.6
2020,CD,503,149.0,10.5,Tottenville and Great Kills (CD3),5.3
2020,UHF42,101,189.0,15.9,Kingsbridge - Riverdale,5.9
2020,UHF42,102,1039.0,16.8,Northeast Bronx,6.0
2020,UHF42,103,1550.0,17.0,Fordham - Bronx Pk,6.0
2020,UHF42,104,1554.0,16.2,Pelham - Throgs Neck,6.1
2020,UHF42,105,2046.0,18.5,Crotona -Tremont,6.3
